fold,roc_auc,pr_auc,balanced_acc,mcc,model
14,0.6706730769230769,0.44516406257559377,0.5745192307692308,0.14111917664128826,LASSO
0,0.6783216783216783,0.4538948180984134,0.5629370629370629,0.13740858372430334,Ridge
1,0.4055944055944056,0.2271768443185385,0.3951048951048951,-0.2052933380442596,Ridge
2,0.6247086247086248,0.33572178385128715,0.6188811188811189,0.21431598490520215,Ridge
3,0.48251748251748255,0.2712066341868453,0.4557109557109557,-0.09669492928747273,Ridge
4,0.7716346153846154,0.5752425986015735,0.7067307692307692,0.4360597289442247,Ridge
5,0.6037296037296037,0.31526986465834106,0.5023310023310024,0.0045620741787613245,Ridge
6,0.5361305361305362,0.3512733353213693,0.4405594405594406,-0.12549059118181413,Ridge
7,0.6293706293706293,0.3381364709786912,0.4953379953379954,-0.008602329568208486,Ridge
8,0.6293706293706294,0.43941439309858843,0.5326340326340326,0.06692668339137377,Ridge
9,0.6201923076923077,0.3515502618581693,0.5360576923076923,0.06933752452815364,Ridge
10,0.7086247086247086,0.43525801003567155,0.6095571095571095,0.21441748640178224,Ridge
11,0.6130536130536131,0.3234002341421392,0.4487179487179487,-0.10036563193274914,Ridge
12,0.5990675990675991,0.32940096119859547,0.5722610722610723,0.13126875661121992,Ridge
13,0.5547785547785549,0.3097865411296188,0.5093240093240093,0.02035682721841531,Ridge
14,0.6850961538461539,0.43946866763018266,0.6514423076923077,0.2802242691589025,Ridge
0,0.6130536130536131,0.45111147405923563,0.5,0.0,LinearSVM
1,0.46386946386946387,0.25111643689699725,0.5,0.0,LinearSVM
2,0.724941724941725,0.3937569211384647,0.5,0.0,LinearSVM
3,0.4895104895104896,0.26326212847377206,0.4696969696969697,-0.13381455858072494,LinearSVM
4,0.7980769230769231,0.6172223283208667,0.5,0.0,LinearSVM
5,0.6177156177156177,0.3243394003017154,0.48484848484848486,-0.09356392870229827,LinearSVM
6,0.5268065268065268,0.349018855098971,0.5081585081585082,0.02975599922823384,LinearSVM
7,0.6223776223776224,0.34828775893568725,0.5,0.0,LinearSVM
8,0.5337995337995338,0.3220217478249713,0.5,0.0,LinearSVM
9,0.5889423076923077,0.3228056218312888,0.5,0.0,LinearSVM
10,0.7272727272727273,0.4724930349241043,0.5,0.0,LinearSVM
11,0.5967365967365967,0.3859040078912568,0.5,0.0,LinearSVM
12,0.6013986013986014,0.3310429710920354,0.5,0.0,LinearSVM
13,0.5664335664335665,0.34499864203103753,0.48484848484848486,-0.09356392870229827,LinearSVM
14,0.7163461538461539,0.47442458828128314,0.5,0.0,LinearSVM
0,0.7342657342657344,0.49954237562699294,0.48484848484848486,-0.09356392870229827,RandomForest
1,0.5501165501165501,0.36231161635241776,0.5233100233100233,0.10293427583132689,RandomForest
2,0.7319347319347319,0.42724105442914406,0.5932400932400932,0.22152592011830036,RandomForest
3,0.36363636363636365,0.2197375591084982,0.4696969696969697,-0.13381455858072494,RandomForest
4,0.6201923076923077,0.47567269472006146,0.5456730769230769,0.14548392431002607,RandomForest
5,0.6258741258741258,0.41228895852260805,0.493006993006993,-0.022349507813383712,RandomForest
6,0.5722610722610723,0.43267120280868354,0.5769230769230769,0.3396831102433787,RandomForest
7,0.6177156177156177,0.4169941808243592,0.5384615384615384,0.23750843439814176,RandomForest
8,0.6328671328671329,0.39994667778576937,0.5233100233100233,0.10293427583132689,RandomForest
9,0.6778846153846154,0.3879802838111844,0.5600961538461539,0.13103560459023977,RandomForest
10,0.520979020979021,0.26558106712933627,0.42424242424242425,-0.2191834608377287,RandomForest
11,0.7202797202797202,0.6216500979708821,0.5769230769230769,0.3396831102433787,RandomForest
12,0.703962703962704,0.43991906225496724,0.6317016317016317,0.29897004763535995,RandomForest
13,0.5827505827505828,0.3811036083129307,0.5233100233100233,0.10293427583132689,RandomForest
14,0.5661057692307692,0.36151413058931525,0.484375,-0.09608826434822593,RandomForest
